        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0    -0.782742   284.614249   506.577388  1708.000543    -0.058811    86.193382    39.713748    46.479634    37.565774    35.626287     0.000000   286.833588   281.603939     0.000000     2.088504          0.0
      1851.0    -0.448519   284.464229   507.594252  1706.934703    -0.345696    89.298734    40.770965    48.527769    37.834896    36.769056     0.226044   286.911260   281.596412     0.794901     2.985045          0.0
      1852.0     0.153810   284.384087   507.629023  1706.742511    -0.341080    89.547689    41.565371    47.982318    38.096525    37.904333     0.240591   286.851771   281.554870     1.514271     3.626267          0.0
      1853.0    -0.389937   284.393525   508.057212  1707.233972    -0.311068    88.559528    39.791459    48.768069    36.484223    36.975684     0.253292   286.820777   281.409594     2.157354     2.387587          0.0
      1854.0    -0.804425   284.831096   505.577434  1707.480667    -0.063122    83.846562    38.443911    45.402650    37.170066    37.416762     0.266718   286.908381   281.707688     2.729000     3.506927          0.0
      1855.0     1.905590   284.779863   506.949361  1706.978429    -0.177562    89.933055    42.315164    47.617892    36.771568    36.269330     0.279404   286.538514   280.902575     3.225332     4.673907          0.0
      1856.0    -0.479204   284.853396   506.862554  1707.192486     0.216197    88.077228    40.006931    48.070297    37.577362    37.791419     0.294021   286.905794   281.518088     3.653014     2.302319          0.0
      1857.0     1.158360   285.222945   505.853230  1707.027374     0.473777    86.303391    39.751834    46.551557    36.966313    36.801201     0.305897   286.867875   281.434143     4.011060     3.959958          0.0
      1858.0     0.513397   285.533272   505.917718  1706.882953     0.326518    87.385051    40.131535    47.253516    37.243293    37.098871     0.318913   286.871903   281.443084     4.302410     2.968176          0.0
      1859.0    -0.207473   286.074671   504.742192  1706.541628     0.354407    85.646846    38.994016    46.652830    37.407725    37.066400     0.331503   287.089345   281.850920     4.527318     3.103141          0.0
      1860.0     0.240475   286.049590   504.408251  1706.007250     0.252296    87.172365    40.471501    46.700864    37.155192    36.620814     0.344981   286.856663   281.591101     4.635892     4.184629          0.0
      1861.0     1.088996   286.346629   504.633912  1706.063712     0.145858    87.805120    40.553918    47.251202    37.132182    37.188644     0.234814   286.819327   281.399379     4.392282     3.139613          0.0
      1862.0     0.958954   286.591856   505.011732  1705.905500     0.197834    89.016790    41.190584    47.826206    37.892723    37.734511     0.230095   286.803805   281.388029     4.170469     3.078252          0.0
      1863.0     0.753402   286.845919   505.287792  1705.817486     0.180467    87.616536    40.181303    47.435233    37.171767    37.083753     0.226442   286.886770   281.581292     3.973911     2.821490          0.0
      1864.0    -0.084673   286.934400   504.215884  1705.700405     0.166940    84.999945    39.089242    45.910703    36.743933    36.626852     0.222158   286.944323   281.750122     3.799925     3.534298          0.0
      1865.0     1.420940   286.781384   505.919354  1705.811630     0.338537    89.729148    41.665728    48.063419    36.842389    36.953613     0.217270   286.723087   281.276076     3.649630     3.008645          0.0
      1866.0     0.081715   287.191323   505.538626  1705.835122     0.290402    87.819809    40.072365    47.747443    37.977551    38.001043     0.213704   287.058939   281.833867     3.526656     2.452050          0.0
      1867.0    -0.291574   287.613310   504.605114  1705.220020     0.030190    85.884738    39.487710    46.397029    38.023244    37.408142     0.209233   287.122183   281.903488     3.427220     3.013080          0.0
      1868.0     1.619680   287.861098   504.912981  1705.164631     0.441711    87.054413    40.350114    46.704299    36.664442    36.609053     0.205037   286.801146   281.398034     3.352412     3.433194          0.0
      1869.0    -0.472205   287.934109   504.062556  1705.866171     0.399359    83.939950    38.843719    45.096231    36.700537    37.402076     0.199465   286.927195   281.587248     3.301920     2.292068          0.0
      1870.0     0.693388   288.187706   504.355499  1704.860811     0.165595    87.395761    40.430167    46.965594    37.494962    36.489602     0.196103   287.131085   281.932677     3.309528     3.647623          0.0
      1871.0     0.226364   288.443410   503.652713  1704.643634     0.299331    85.905233    39.734618    46.170615    37.129789    36.912612     0.415457   286.988423   281.805177     4.092388     3.524791          0.0
      1872.0     1.071159   288.427579   503.868044  1704.346345     0.269723    89.256739    41.367629    47.889109    37.122705    36.825416     0.431620   286.847611   281.503789     4.792367     4.326883          0.0
      1873.0     1.063017   288.814559   502.970031  1704.576408     0.531532    87.489120    40.172066    47.317054    37.481165    37.711228     0.447539   286.961974   281.688281     5.411525     3.358851          0.0
      1874.0     1.794758   288.905057   504.172326  1704.240542     0.494152    91.564442    42.033383    49.531059    37.535842    37.199976     0.465132   286.904402   281.739390     5.958426     3.631112          0.0
      1875.0    -0.023191   289.088692   502.961542  1705.411775     0.517977    86.351526    39.121245    47.230281    36.625426    37.796660     0.479200   286.912982   281.717275     6.416024     2.535368          0.0
