        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout
      1850.0     0.097764   282.603215   425.597491   956.487163    -0.099111   121.342261    62.717726    58.624536    58.930197    60.233750     0.427809   286.467898   280.643713    38.000420     3.651816
      1851.0    -1.187154   282.467002   424.244608   957.438183    -0.158258   118.429767    61.058263    57.371505    58.550348    59.501368     0.705721   286.562581   280.738167    42.774208     2.909777
      1852.0    -0.704242   282.600416   422.706683   958.036669    -0.101895   118.346351    61.170324    57.176027    58.869903    59.468390     0.758505   286.535775   280.689546    45.547230     3.239859
      1853.0    -2.004775   283.283253   420.502455   957.829838     0.104814   113.440940    58.206434    55.234506    58.530631    58.323799     0.779761   286.671144   281.019991    47.644032     2.086862
      1854.0     1.446670   283.915479   419.539611   956.770864     0.359579   117.929597    60.940778    56.988819    58.104459    57.045485     0.795203   286.625783   280.713933    49.184322     4.858136
      1855.0    -0.845843   284.396458   418.099258   956.838093     0.165968   116.721202    59.570094    57.151108    58.579464    58.646692     0.806255   286.804156   281.175837    50.711334     2.363755
      1856.0    -0.151841   285.084845   415.954547   957.121465     0.401361   115.859381    59.328446    56.530934    57.829404    58.112776     0.813521   286.698102   281.132178    52.000763     3.360382
      1857.0     1.496900   285.488716   415.453342   956.727033     0.261872   120.226613    62.413154    57.813459    58.750944    58.356513     0.817440   286.610511   280.860024    52.882809     4.557847
      1858.0    -0.047958   285.703706   414.775530   957.085702     0.241149   117.412246    60.383457    57.028789    57.801676    58.160345     0.821080   286.533411   280.799620    53.563007     2.900924
      1859.0     1.243142   285.912166   414.483655   956.914839     0.137391   120.297054    62.450992    57.846062    58.499641    58.328777     0.820479   286.530882   280.713477    54.077370     4.414089
      1860.0     0.112338   285.678144   415.076730   957.233091     0.100880   121.874959    63.046072    58.828887    59.404863    59.723114     0.811084   286.462560   280.590457    54.580170     2.729883
      1861.0    -0.398419   285.660018   415.027846   957.291204     0.229349   118.939550    61.211631    57.727919    58.541800    58.599914     0.798409   286.585678   280.767755    54.934147     2.660601
      1862.0    -0.806234   285.901133   413.881343   957.429598     0.294829   116.494011    59.709360    56.784651    58.041302    58.179696     0.791107   286.595417   280.875814    55.093014     2.676168
      1863.0     1.121809   286.198632   413.133137   957.151970     0.329592   119.988029    62.087603    57.900426    58.696196    58.418568     0.783330   286.639399   280.998194    55.273426     4.417241
      1864.0    -0.181732   286.210590   411.813312   958.414369     0.354396   118.643363    61.135855    57.507508    58.367681    59.630080     0.779071   286.589100   280.946005    55.555393     2.825600
      1865.0     0.305356   286.325949   411.054483   958.746699     0.257827   118.956784    61.644252    57.312532    58.761929    59.094259     0.770998   286.594736   280.733742    55.587017     3.308823
      1866.0     0.354890   286.452948   411.078899   958.410569     0.099310   119.422487    61.697217    57.725270    58.544663    58.208533     0.766486   286.616714   280.747718    55.777328     3.464267
      1867.0    -0.742807   286.646811   410.475065   958.522774     0.026173   118.216446    60.872260    57.344186    58.791768    58.903974     0.761302   286.671678   281.001735    55.957150     2.572121
      1868.0     1.623926   286.718567   410.958944   958.185523     0.044564   122.907408    63.858102    59.049305    59.091032    58.753781     0.759869   286.514240   280.667406    56.235073     4.620442
      1869.0    -0.012868   286.403495   411.010394   959.218588     0.028616   122.656394    63.426562    59.229832    59.606348    60.639412     0.755489   286.592403   280.776097    56.690456     2.735701
      1870.0    -2.063854   286.610002   409.967533   959.411841     0.193475   116.371191    59.408070    56.963121    58.836140    59.029393     0.785214   286.788466   281.191953    57.046947     1.421538
      1871.0     0.378710   287.393974   408.259077   958.600921     0.300620   117.084179    60.075142    57.009037    58.446936    57.636016     0.801086   286.846780   281.308331    57.204739     4.147581
      1872.0     1.623328   287.828263   408.161112   957.757407     0.209254   120.412908    62.487797    57.925111    58.752425    57.908911     0.804960   286.549493   280.741557    57.701500     4.676851
      1873.0    -0.513846   287.794904   408.072482   958.381441     0.137863   118.414856    60.882762    57.532093    58.045793    58.669827     0.806610   286.621589   280.715547    58.224922     2.301565
      1874.0     1.602706   287.945183   407.571392   958.677985     0.114507   121.356671    63.047985    58.308686    58.568546    58.865089     0.805762   286.653546   280.872119    58.566326     4.683986
      1875.0     0.271231   287.696339   408.029566   959.203927     0.196606   122.718435    63.628333    59.090103    59.567345    60.093287     0.808486   286.611673   280.735484    59.113483     3.076872
      1876.0    -0.680961   287.684322   407.666402   959.443125     0.270033   120.184637    61.835794    58.348843    59.461751    59.700949     0.808873   286.730544   280.811825    59.397423     2.498009
