        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0    -1.512974   283.923842   581.960373  1775.163492     0.039043   114.985376    57.439621    57.545754    58.363350    57.356158     0.000533   286.960976   281.301811     0.007834     1.079638     0.452717
      1851.0     0.710311   284.055342   581.635734  1774.538607     0.147694   117.165422    59.276846    57.888576    58.105865    58.095651     0.001059   286.787160   281.003952     0.015768     1.505834     0.614670
      1852.0     0.579255   284.196702   581.982631  1774.748748     0.270896   117.298881    59.062479    58.236401    58.160684    57.949499     0.001324   286.892306   281.077543     0.020897     0.766083    -0.421325
      1853.0    -1.266121   284.328199   582.028959  1773.753333     0.033926   117.447126    58.430783    59.016343    59.092753    57.724597     0.001451   287.093849   281.426463     0.024386     0.659858    -0.372741
      1854.0    -0.021742   284.443257   581.813310  1773.061676    -0.066983   118.811523    59.870071    58.941453    59.110101    58.743933     0.001424   286.865967   280.978030     0.025988     1.341787     0.325490
      1855.0     0.861055   284.545169   582.232757  1772.986525    -0.145968   119.398507    60.391638    59.006869    58.599328    58.950875     0.001476   286.759107   280.905835     0.028308     1.021316     0.426698
      1856.0    -0.302370   284.660230   582.279560  1773.270563    -0.090368   117.278640    59.212852    58.065788    58.639891    58.298139     0.001551   286.711370   280.968081     0.030704     0.867910    -0.625790
      1857.0     0.670852   284.804879   582.453422  1773.170213     0.113934   116.225360    58.705330    57.520030    57.510512    57.777808     0.001512   286.762263   281.004153     0.031672     0.753660     0.367646
      1858.0    -0.094288   284.969246   582.150264  1773.130339     0.163437   114.575341    57.547407    57.027935    57.229164    57.099890     0.001436   286.822599   281.020706     0.031951     0.750676    -0.089401
      1859.0    -1.496437   285.146776   581.462560  1772.179988     0.157206   114.566151    57.036394    57.529757    58.101505    56.869591     0.001424   286.874273   281.103925     0.033017     0.854506    -0.281563
      1860.0     1.119772   285.337447   581.321022  1771.724990    -0.001134   117.966753    59.982773    57.983980    58.252828    58.532501     0.001313   286.701642   280.907893     0.032796     1.591811     0.734671
      1861.0     1.829719   285.524831   581.817102  1772.375532     0.099792   118.514872    60.338937    58.175935    58.010623    59.052521     0.001299   286.606328   280.881627     0.033764     0.790336     0.391355
      1862.0     1.506563   285.699073   581.866337  1773.775680     0.041330   116.965683    59.246402    57.719280    57.141588    58.375186     0.001252   286.533206   280.671979     0.033993     0.821981    -0.166550
      1863.0    -0.180255   285.870008   581.415153  1774.266727    -0.130182   115.369113    58.315108    57.054005    57.747696    57.678658     0.001224   286.620773   280.697024     0.034434     1.087634    -0.560084
      1864.0    -0.283060   286.040957   581.216746  1773.890112     0.082532   116.739181    58.935348    57.803833    58.697466    58.065148     0.001263   286.715533   280.885887     0.035526     1.068607    -0.255703
      1865.0     0.105930   286.211908   581.073944  1773.405351     0.056165   116.051594    58.958702    57.092893    58.287849    57.843524     0.001303   286.704867   280.839175     0.036331     1.257980     0.040435
      1866.0     1.816854   286.382858   581.756279  1773.417039     0.052756   121.086125    61.565510    59.520615    59.134090    59.792807     0.001273   286.569682   280.694720     0.036366     1.090369     0.647028
      1867.0     1.217505   286.547227   582.405065  1774.242624    -0.035755   118.939672    60.173769    58.765903    58.273019    58.841452     0.001233   286.535708   280.618889     0.036442     0.683531    -0.257152
      1868.0     1.619645   286.695163   582.706507  1774.646798    -0.045303   119.801745    60.540125    59.261620    58.146339    58.947874     0.001199   286.605281   280.816040     0.036688     1.290809     0.397360
      1869.0     0.016264   286.826658   582.549908  1775.415418     0.051979   114.635464    57.847679    56.787785    57.168898    57.554650     0.001217   286.662463   280.847506     0.037674     0.449627    -0.382868
      1870.0    -0.885637   286.954871   582.108863  1775.185459     0.083178   114.825988    57.482480    57.343508    57.722770    56.812533     0.001820   286.825114   281.007917     0.048769     1.110992    -0.680278
      1871.0    -1.730545   287.096232   581.683124  1773.678730     0.172686   116.531161    58.322822    58.208339    59.439965    57.858442     0.002810   286.883166   281.051066     0.066849     0.890118    -0.074795
      1872.0    -0.894276   287.263893   580.911389  1772.477213     0.346954   115.074330    57.820564    57.253766    58.357242    57.468374     0.004255   286.909358   281.034103     0.100137     1.123925     0.312649
      1873.0     0.030278   287.454564   580.645057  1771.567497     0.263434   119.379395    59.887311    59.492084    59.461122    58.758842     0.007826   286.851234   281.010572     0.186239     1.394802     0.207436
      1874.0     1.078979   287.661673   580.801454  1771.515577     0.260875   118.122694    59.792042    58.330651    58.380738    58.551261     0.011240   286.746841   280.939438     0.290442     1.084384     0.222443
      1875.0     2.241273   287.885222   581.243259  1771.973214     0.176500   120.908490    61.307993    59.600497    58.643679    59.580637     0.013604   286.636180   280.841883     0.390025     1.285550     0.479321
      1876.0     0.654483   288.115342   581.153635  1773.050647     0.227828   114.554263    57.919542    56.634721    56.972127    57.525531     0.015314   286.588938   280.734380     0.484582     0.483635    -0.524029
      1877.0     0.192794   288.348752   580.888522  1772.733435     0.045832   116.402609    59.083857    57.318752    58.357939    57.752729     0.018257   286.698013   280.884552     0.609438     1.596242    -0.287997
      1878.0     2.228760   288.585447   581.320418  1773.063230     0.270561   121.169721    61.303250    59.866471    58.726181    59.644023     0.022494   286.656362   280.937113     0.772407     1.227331     0.588047
      1879.0     0.543743   288.822145   581.507299  1773.555865     0.158576   117.753610    59.583846    58.169764    58.587281    58.412289     0.027810   286.657155   280.813357     0.976464     0.984676    -0.667627
      1880.0     0.927031   289.068709   582.223306  1773.306131     0.070003   120.510719    60.883118    59.627601    59.401004    59.113507     0.022958   286.753001   280.967105     0.976143     1.053604    -0.037762
      1881.0     0.630142   289.334985   582.351305  1772.862810     0.108216   117.881100    59.660538    58.220563    58.568478    58.501127     0.014771   286.713725   280.812152     0.864014     1.031411     0.375971
      1882.0     0.353452   289.604559   582.280941  1772.784225    -0.031584   116.098758    58.741819    57.356938    57.841368    57.643855     0.012071   286.690847   280.848948     0.822208     1.168328    -0.118929
      1883.0     2.405093   289.857691   582.579855  1773.116738     0.092217   119.754321    60.885534    58.868788    57.956572    59.179031     0.010891   286.503988   280.592649     0.799410     1.407588     0.889946
      1884.0     2.546233   290.114114   582.956672  1774.937592     0.579343   117.199348    59.327998    57.871350    56.745773    58.239709     0.010723   286.404727   280.265007     0.792882     0.711472    -0.326918
      1885.0    -1.226261   290.393543   582.417916  1774.574511     0.428309   115.479269    57.900372    57.578896    59.002338    57.405387     0.011096   286.652997   280.814969     0.796927     1.033741    -1.233870
      1886.0     1.452139   290.692702   582.331334  1773.969603     0.337723   118.573967    60.268773    58.305194    58.614735    58.769404     0.011870   286.622393   280.759692     0.813149     1.585951     0.759577
      1887.0     1.520162   291.011588   582.784336  1773.977029     0.226749   119.451547    60.597749    58.853798    58.837667    58.791367     0.012368   286.640394   280.865929     0.828278     1.353380    -0.053727
      1888.0     0.779031   291.353484   582.968427  1773.883793     0.235402   118.104748    59.911484    58.193263    58.937396    58.776067     0.012880   286.626221   280.803655     0.847027     0.951327    -0.068093
      1889.0     1.361139   291.701947   583.197945  1774.031287     0.331274   118.054522    59.909276    58.145246    58.445418    58.591643     0.013284   286.674739   280.864967     0.865981     1.088116    -0.001269
      1890.0    -0.642396   292.050421   582.823992  1773.696906     0.250425   115.237360    57.897518    57.339842    58.324946    57.598899     0.014573   286.700554   280.892593     0.904864     0.672572    -0.391666
      1891.0     2.168433   292.405467   582.363631  1773.497648     0.350970   117.316355    59.609723    57.706632    57.335528    58.415892     0.017208   286.428856   280.327998     0.978994     1.654192     1.279622
      1892.0     0.640355   292.747360   582.036128  1774.408662     0.430447   115.785573    58.461713    57.323861    57.763310    57.836671     0.021790   286.646497   280.774679     1.109548     0.952544    -0.837653
      1893.0    -0.670564   293.066241   581.366633  1773.373038     0.382798   115.745239    58.252590    57.492649    58.788173    57.270860     0.025028   286.619837   280.725113     1.234892     1.651225    -0.481689
      1894.0     0.997382   293.371974   581.369603  1772.981984    -0.002863   120.241965    61.119422    59.122543    59.453637    59.610199     0.028873   286.499985   280.755575     1.386470     1.506254     0.547617
      1895.0     1.732651   293.664554   581.568748  1773.456880     0.346557   121.400323    61.212644    60.187679    59.158000    59.474846     0.031452   286.483732   280.569908     1.525663     1.538653    -0.158050
      1896.0     2.453725   293.947282   582.283312  1773.806304     0.328696   121.500163    61.435260    60.064904    58.565163    59.529679     0.034294   286.590986   280.687988     1.676502     1.191017     0.615091
      1897.0     2.611214   294.236575   583.109892  1774.832656     0.287281   123.027369    61.878833    61.148536    58.868174    59.851213     0.039083   286.539286   280.471761     1.877644     1.201039    -0.043312
      1898.0    -0.732059   294.548881   582.884580  1774.740762     0.273376   117.435292    58.473925    58.961367    58.839787    57.970767     0.042540   286.745453   280.951576     2.067329     0.728470    -0.777126
